epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,9959.4,0.23719,0.32751,0.78079,0.99575,0.99257,0.99475,0.97077,0.24331,0.29161,0.76477,2.25316e-05,2.25316e-05,2.25316e-05
40,10218.8,0.23708,0.32547,0.78083,0.99534,0.99288,0.99474,0.97223,0.23922,0.28777,0.7643,2.07298e-05,2.07298e-05,2.07298e-05
41,10484.1,0.21569,0.27591,0.7641,0.9957,0.9926,0.9947,0.97019,0.24467,0.2946,0.76462,1.8928e-05,1.8928e-05,1.8928e-05
42,10740.8,0.20731,0.26537,0.76338,0.99523,0.99309,0.99471,0.97178,0.24108,0.29091,0.76461,1.71262e-05,1.71262e-05,1.71262e-05
43,10993.5,0.2048,0.26137,0.76264,0.9953,0.99318,0.99469,0.97205,0.23998,0.28837,0.7643,1.53244e-05,1.53244e-05,1.53244e-05
44,11248.2,0.2023,0.26007,0.76344,0.99553,0.99313,0.99474,0.97269,0.23677,0.28494,0.7638,1.35226e-05,1.35226e-05,1.35226e-05
45,11505.5,0.20031,0.25629,0.76221,0.99548,0.9929,0.99473,0.97325,0.23411,0.2817,0.76369,1.17208e-05,1.17208e-05,1.17208e-05
46,11761.9,0.19559,0.25123,0.76266,0.99567,0.99354,0.99473,0.97347,0.23478,0.28065,0.76368,9.919e-06,9.919e-06,9.919e-06
47,12018.7,0.1957,0.25082,0.76383,0.9962,0.9931,0.99471,0.97337,0.23233,0.27862,0.76344,8.1172e-06,8.1172e-06,8.1172e-06
48,12270.6,0.19122,0.24396,0.76094,0.99609,0.99338,0.99472,0.97389,0.23282,0.27697,0.76351,6.3154e-06,6.3154e-06,6.3154e-06
49,12530.9,0.19051,0.24361,0.76129,0.9959,0.99353,0.99475,0.97403,0.23121,0.27495,0.76342,4.5136e-06,4.5136e-06,4.5136e-06
50,12787.4,0.18851,0.24211,0.76156,0.99603,0.99363,0.99475,0.97416,0.23058,0.27427,0.76328,2.7118e-06,2.7118e-06,2.7118e-06
